901.txt                                 
    f [Hz]  Sp [m2s]
    0.4650    0.0422
    0.4658    0.0414
    0.4667    0.0408
    0.4675    0.0401
    0.4683    0.0394
    0.4692    0.0389
    0.4700    0.0384
    0.4708    0.0380
    0.4717    0.0377
    0.4725    0.0374
    0.4733    0.0372
    0.4742    0.0369
    0.4750    0.0365
    0.4758    0.0361
    0.4767    0.0356
    0.4775    0.0351
    0.4783    0.0347
    0.4792    0.0345
    0.4800    0.0342
    0.4808    0.0339
    0.4817    0.0336
    0.4825    0.0331
    0.4833    0.0327
    0.4842    0.0322
    0.4850    0.0317
    0.4858    0.0312
    0.4867    0.0305
    0.4875    0.0300
    0.4883    0.0297
    0.4892    0.0297
    0.4900    0.0297
    0.4908    0.0299
    0.4917    0.0300
    0.4925    0.0300
    0.4933    0.0299
    0.4942    0.0299
    0.4950    0.0300
    0.4958    0.0299
    0.4967    0.0300
    0.4975    0.0301
    0.4983    0.0300
    0.4992    0.0301
    0.5000    0.0301
    0.5008    0.0302
    0.5017    0.0303
    0.5025    0.0304
    0.5033    0.0305
    0.5042    0.0305
    0.5050    0.0305
    0.5058    0.0306
    0.5067    0.0306
    0.5075    0.0306
    0.5083    0.0305
    0.5092    0.0304
    0.5100    0.0303
    0.5108    0.0303
    0.5117    0.0302
    0.5125    0.0301
    0.5133    0.0300
    0.5142    0.0299
    0.5150    0.0299
    0.5158    0.0298
    0.5167    0.0296
    0.5175    0.0293
    0.5183    0.0290
    0.5192    0.0286
    0.5200    0.0284
    0.5208    0.0282
    0.5217    0.0280
    0.5225    0.0278
    0.5233    0.0275
    0.5242    0.0273
    0.5250    0.0271
    0.5258    0.0269
    0.5267    0.0265
    0.5275    0.0261
    0.5283    0.0256
    0.5292    0.0251
    0.5300    0.0246
    0.5308    0.0243
    0.5317    0.0242
    0.5325    0.0246
    0.5333    0.0249
    0.5342    0.0251
    0.5350    0.0252
    0.5358    0.0252
    0.5367    0.0252
    0.5375    0.0253
    0.5383    0.0253
    0.5392    0.0254
    0.5400    0.0254
    0.5408    0.0254
    0.5417    0.0254
    0.5425    0.0254
    0.5433    0.0253
    0.5442    0.0252
    0.5450    0.0250
    0.5458    0.0248
    0.5467    0.0246
    0.5475    0.0244
    0.5483    0.0241
    0.5492    0.0239
    0.5500    0.0236
    0.5508    0.0234
    0.5517    0.0231
    0.5525    0.0229
    0.5533    0.0225
    0.5542    0.0222
    0.5550    0.0219
    0.5558    0.0217
    0.5567    0.0215
    0.5575    0.0213
    0.5583    0.0211
    0.5592    0.0209
    0.5600    0.0205
    0.5608    0.0202
    0.5617    0.0199
    0.5625    0.0196
    0.5633    0.0193
    0.5642    0.0189
    0.5650    0.0185
    0.5658    0.0181
    0.5667    0.0177
    0.5675    0.0174
    0.5683    0.0171
    0.5692    0.0167
    0.5700    0.0163
    0.5708    0.0159
    0.5717    0.0154
    0.5725    0.0149
    0.5733    0.0145
    0.5742    0.0145
    0.5750    0.0145
    0.5758    0.0145
    0.5767    0.0145
    0.5775    0.0144
    0.5783    0.0143
    0.5792    0.0143
    0.5800    0.0144
    0.5808    0.0145
    0.5817    0.0146
    0.5825    0.0147
    0.5833    0.0147
    0.5842    0.0147
    0.5850    0.0148
    0.5858    0.0149
    0.5867    0.0150
    0.5875    0.0151
    0.5883    0.0152
    0.5892    0.0154
    0.5900    0.0154
    0.5908    0.0155
    0.5917    0.0156
    0.5925    0.0156
    0.5933    0.0156
    0.5942    0.0156
    0.5950    0.0156
    0.5958    0.0157
    0.5967    0.0158
    0.5975    0.0159
    0.5983    0.0159
    0.5992    0.0161
    0.6000    0.0162
    0.6008    0.0163
    0.6017    0.0163
    0.6025    0.0164
    0.6033    0.0164
    0.6042    0.0165
    0.6050    0.0164
    0.6058    0.0164
    0.6067    0.0165
    0.6075    0.0166
    0.6083    0.0167
    0.6092    0.0169
    0.6100    0.0170
    0.6108    0.0170
    0.6117    0.0171
    0.6125    0.0172
    0.6133    0.0172
    0.6142    0.0171
    0.6150    0.0170
    0.6158    0.0170
    0.6167    0.0171
    0.6175    0.0171
    0.6183    0.0171
    0.6192    0.0172
    0.6200    0.0172
    0.6208    0.0172
    0.6217    0.0171
    0.6225    0.0171
    0.6233    0.0170
    0.6242    0.0169
    0.6250    0.0167
    0.6258    0.0165
    0.6267    0.0162
    0.6275    0.0160
    0.6283    0.0158
    0.6292    0.0155
    0.6300    0.0153
    0.6308    0.0151
    0.6317    0.0149
    0.6325    0.0146
    0.6333    0.0142
    0.6342    0.0138
    0.6350    0.0134
    0.6358    0.0131
    0.6367    0.0128
    0.6375    0.0125
    0.6383    0.0122
    0.6392    0.0119
    0.6400    0.0117
    0.6408    0.0114
    0.6417    0.0112
    0.6425    0.0109
    0.6433    0.0106
    0.6442    0.0103
    0.6450    0.0100
    0.6458    0.0097
    0.6467    0.0094
    0.6475    0.0091
    0.6483    0.0090
    0.6492    0.0089
    0.6500    0.0088
    0.6508    0.0086
    0.6517    0.0086
    0.6525    0.0085
    0.6533    0.0083
    0.6542    0.0082
    0.6550    0.0081
    0.6558    0.0080
    0.6567    0.0079
    0.6575    0.0078
    0.6583    0.0078
    0.6592    0.0079
    0.6600    0.0079
    0.6608    0.0081
    0.6617    0.0081
    0.6625    0.0082
    0.6633    0.0083
    0.6642    0.0083
    0.6650    0.0085
    0.6658    0.0086
    0.6667    0.0087
    0.6675    0.0087
    0.6683    0.0088
    0.6692    0.0088
    0.6700    0.0089
    0.6708    0.0089
    0.6717    0.0089
    0.6725    0.0089
    0.6733    0.0090
    0.6742    0.0090
    0.6750    0.0090
    0.6758    0.0090
    0.6767    0.0090
    0.6775    0.0090
    0.6783    0.0090
    0.6792    0.0090
    0.6800    0.0089
    0.6808    0.0089
    0.6817    0.0089
    0.6825    0.0089
    0.6833    0.0088
    0.6842    0.0088
